Molecule,SMILES,Process_Type,Process_Param,Time_min,Temp_K,Alpha,Rate_1_min
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Dyn,10.0,4.670664684553045,483.4385741932296,0.4979756676085768,0.1677958488778464
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,2.5,6.78,452.13,0.2938010900671836,0.047551065471805
C10,OC(=O)CCCCCCCCC(=O)O,Iso,170.0,56.360110000000056,443.17,0.9831474475188828,0.0023380720318046
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,10.0,9.39,532.3199999999999,0.8818327951646459,0.0552479188777558
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Dyn,2.5,31.462253235594996,512.7430774192609,0.9881535614343142,0.0010931515215866
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,5.0,14.99,510.5,0.8414734351487168,0.0316031613376506
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Iso,170.0,2.255199999999999,443.2456293975904,0.1168380310078297,0.0562456463993033
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Iso,180.0,20.00083999999997,453.16907518072287,0.9817445259217475,0.0052302813281331
C10,OC(=O)CCCCCCCCC(=O)O,Iso,165.0,58.22500000000007,438.1649999999999,0.9426921357307124,0.0031252715643121
C10,OC(=O)CCCCCCCCC(=O)O,Iso,165.0,54.11500000000006,438.1650000000001,0.9286945252051678,0.0036060825742064
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,5.0,2.5900000000000003,448.5,0.1240689038299839,0.0563110874743583
C10,OC(=O)CCCCCCCCC(=O)O,Iso,165.0,78.09000000000013,438.16,0.985261339505456,0.0012020275247355
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Dyn,2.5,17.647873087661686,478.2254516128505,0.941425942647442,0.0179705345219638
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,2.5,26.01,500.13,0.9168129636228884,0.01275315932194
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,10.0,1.7899999999999996,456.32,0.0986565958273392,0.0756579780810046
C6,OC(=O)CCCCC(=O)O,Dyn,5.0,1.3900000000000006,442.67,0.094539487060327,0.0748932585901423
C6,OC(=O)CCCCC(=O)O,Dyn,2.5,4.08,444.69000000000005,0.1976826301885813,0.0521835883957611
C10,OC(=O)CCCCCCCCC(=O)O,Iso,170.0,40.55821000000004,443.17,0.9172164379796904,0.0061748482359953
C10,OC(=O)CCCCCCCCC(=O)O,Iso,170.0,49.51262000000005,443.17,0.9618224868793156,0.0036916926817968
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Iso,160.0,58.75748167685983,433.15,0.9855028736179666,0.0013686133267504
C6,OC(=O)CCCCC(=O)O,Dyn,5.0,24.41,557.67,0.9725812541752592,0.0085683580702311
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,10.0,3.29,471.32,0.2443070010725837,0.1180616355636109
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Dyn,2.5,20.22321366995933,484.6473354838106,0.9706910334745252,0.0049160854448613
C6,OC(=O)CCCCC(=O)O,Dyn,10.0,3.174999999999993,470.41,0.4257422615287425,0.2198357548957688
C10,OC(=O)CCCCCCCCC(=O)O,Iso,165.0,74.66500000000012,438.16,0.9805680230351266,0.0014424330296824
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,5.0,4.790000000000001,459.5,0.2642400971972784,0.070452704113327
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,2.5,4.79,447.13,0.2006447268601211,0.045829388963343
C10,OC(=O)CCCCCCCCC(=O)O,Iso,165.0,17.125,438.17,0.6056626098297809,0.0177178857146005
C10,OC(=O)CCCCCCCCC(=O)O,Iso,165.0,1.37,438.19,0.0755862734490853,0.0500331936895886
C6,OC(=O)CCCCC(=O)O,Dyn,5.0,18.21,526.67,0.9116152081094426,0.0103110749658713
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,10.0,7.689999999999999,515.3199999999999,0.7634544517858097,0.0823440319579307
C10,OC(=O)CCCCCCCCC(=O)O,Iso,165.0,75.35000000000012,438.16,0.981556089660459,0.0014424330296825
C6,OC(=O)CCCCC(=O)O,Dyn,5.0,14.61,508.67,0.8724040779575358,0.0120537918615116
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,5.0,14.590000000000002,508.5,0.8285129467617612,0.032560832893337
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Dyn,2.5,32.10464640760397,514.3485483870008,0.988855572608577,0.001095618174733
C6,OC(=O)CCCCC(=O)O,Dyn,5.0,19.61,533.67,0.925876441372099,0.0100206221499316
C10,OC(=O)CCCCCCCCC(=O)O,Iso,180.0,16.08189,453.19,0.7221012617504592,0.0189207833053823
C6,OC(=O)CCCCC(=O)O,Dyn,5.0,26.21,566.67,0.9864068082140056,0.0065351883586512
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Dyn,5.0,3.462330452913052,452.8304967741497,0.1989905902751735,0.0803275398126772
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Iso,170.0,28.75380000000002,443.17835383233535,0.9379425239483548,0.0077617727477758
C10,OC(=O)CCCCCCCCC(=O)O,Iso,180.0,38.49907,453.17,0.9421794960670836,0.0042941891628774
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,5.0,20.99,540.5,0.9763135901893571,0.0111728348163409
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Dyn,10.0,6.567555444705362,502.3995935479394,0.8126523806514595,0.1480755226720544
C10,OC(=O)CCCCCCCCC(=O)O,Iso,165.0,56.17000000000007,438.16,0.935940347124274,0.0033656770692583
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,5.0,16.39,517.5,0.8836109835989169,0.0277724751149045
C6,OC(=O)CCCCC(=O)O,Dyn,10.0,9.71,535.41,0.9402242577384712,0.0167403663929244
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Dyn,5.0,6.422033775760328,467.65229032249937,0.4850471505444718,0.1053843108756317
C10,OC(=O)CCCCCCCCC(=O)O,Iso,170.0,41.08494000000004,443.17,0.9204689157910362,0.0061528211363277
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,2.5,30.41,511.13,0.9611393016661456,0.0075152546004289
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,2.5,18.4,481.13,0.7668904663939676,0.0274648395397493
C6,OC(=O)CCCCC(=O)O,Iso,170.0,13.099999999999994,443.19,0.7649038242917557,0.0202719988503276
C6,OC(=O)CCCCC(=O)O,Dyn,10.0,11.71,555.41,0.97207833228048,0.0145293746051811
C6,OC(=O)CCCCC(=O)O,Iso,180.0,29.169575999999964,453.17,0.9798687282498568,0.0020659080708553
C10,OC(=O)CCCCCCCCC(=O)O,Iso,170.0,55.30665000000005,443.17,0.9804251121180872,0.0025841848772572
C6,OC(=O)CCCCC(=O)O,Iso,180.0,19.04125099999998,453.17,0.9434386150389852,0.0058715282013786
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Dyn,2.5,12.812226819368933,466.1844193548004,0.7626171408298336,0.0542815056932569
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Dyn,2.5,20.865762940331443,486.25280645155055,0.9736307052667512,0.0036822070475417
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,10.0,2.69,465.32,0.1781784092540614,0.1038449736358341
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,2.5,22.4,491.13,0.8602435926305687,0.0185831750119693
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Dyn,10.0,2.9791873722514515,466.4734516126997,0.2314613226591561,0.1298199031909675
C6,OC(=O)CCCCC(=O)O,Dyn,5.0,24.61,558.67,0.9742949257893054,0.0082779052542914
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Dyn,5.0,1.1495192887791066,441.2308322580499,0.0537745632318008,0.0479317841886206
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Dyn,2.5,30.177813067758837,509.5321354837809,0.9867495390857884,0.0010931572829783
C10,OC(=O)CCCCCCCCC(=O)O,Iso,165.0,55.48500000000006,438.1649999999999,0.9336348583318308,0.0033656770692601
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,5.0,9.39,482.5,0.5887566805571605,0.0623124958899931
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,5.0,12.59,498.5,0.7550276160554273,0.0408606530426178
C6,OC(=O)CCCCC(=O)O,Iso,170.0,18.340000000000003,443.18,0.8455277158837706,0.0106913966539399
C6,OC(=O)CCCCC(=O)O,Dyn,2.5,43.18,542.3400000000008,0.9530771846310778,0.0073517924588991
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Iso,160.0,60.485642902649815,433.15,0.9876852367292404,0.0011861315498507
C6,OC(=O)CCCCC(=O)O,Iso,170.0,64.19000000000008,443.17,0.9897230685280344,0.0006942465359699
C10,OC(=O)CCCCCCCCC(=O)O,Iso,170.0,26.863230000000023,443.18,0.792843239501346,0.0121820936242383
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Dyn,10.0,1.489445733909334,451.5042258063498,0.0852242499512977,0.0732560402439667
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,5.0,7.99,475.5,0.4952304764288299,0.0695907997132085
C10,OC(=O)CCCCCCCCC(=O)O,Iso,170.0,15.27517000000001,443.19,0.5971792845832203,0.0228889622415453
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,10.0,1.4899999999999998,453.32,0.0775891919587181,0.0673109676620203
C10,OC(=O)CCCCCCCCC(=O)O,Iso,170.0,43.19186000000004,443.17,0.9327314811513928,0.0053915941053405
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,10.0,4.49,483.32,0.3977061908636127,0.1349879087994092
C10,OC(=O)CCCCCCCCC(=O)O,Iso,170.0,0.0,443.12,0.0102366292820877,0.0485225786272765
C6,OC(=O)CCCCC(=O)O,Dyn,2.5,33.510000000000005,518.1600000000005,0.8690136792822971,0.0089776696373091
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Iso,180.0,8.23564,453.202233373494,0.6606210493993819,0.0560137181969995
C10,OC(=O)CCCCCCCCC(=O)O,Iso,170.0,46.352240000000045,443.17,0.9485997149325932,0.0045530876408821
C6,OC(=O)CCCCC(=O)O,Iso,180.0,32.00550699999996,453.17,0.9850226862252766,0.0015222480522088
C10,OC(=O)CCCCCCCCC(=O)O,Iso,170.0,6.847490000000001,443.22,0.3383071481397698,0.03926398196863
C6,OC(=O)CCCCC(=O)O,Iso,165.0,25.07822100000002,438.17,0.921273818846254,0.0062951039402217
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Dyn,10.0,2.2842317770228107,459.48781290306977,0.1528658163670259,0.1013225190520692
C6,OC(=O)CCCCC(=O)O,Dyn,10.0,1.69,455.41,0.1599842072015159,0.133859759949465
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,5.0,8.190000000000001,476.5,0.5091486363714717,0.0687927400834711
C6,OC(=O)CCCCC(=O)O,Dyn,10.0,11.61,554.41,0.9705938092229944,0.014845230574857
C6,OC(=O)CCCCC(=O)O,Iso,165.0,3.9806700000000017,438.21,0.3560783555207518,0.083081040157624
C6,OC(=O)CCCCC(=O)O,Dyn,5.0,3.79,454.67,0.299137355136658,0.0970112405239769
C6,OC(=O)CCCCC(=O)O,Dyn,5.0,4.390000000000001,457.67,0.3579830956461122,0.0996253158674379
C6,OC(=O)CCCCC(=O)O,Dyn,2.5,43.55,543.2700000000008,0.9557973478408706,0.0072104118346792
C6,OC(=O)CCCCC(=O)O,Dyn,5.0,7.19,471.67,0.6245897353974846,0.079003165935694
C6,OC(=O)CCCCC(=O)O,Dyn,10.0,8.61,524.41,0.9204674668351231,0.0192672141503458
C6,OC(=O)CCCCC(=O)O,Iso,170.0,19.65000000000001,443.17,0.8591696603155836,0.0093723282355967
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,5.0,4.59,458.5,0.2503155527775986,0.069622722098399
C10,OC(=O)CCCCCCCCC(=O)O,Iso,180.0,23.87917,453.18,0.8379316634282166,0.0110002948195159
C6,OC(=O)CCCCC(=O)O,Dyn,10.0,7.309999999999999,511.41,0.8922931143398609,0.0249526216045489
C10,OC(=O)CCCCCCCCC(=O)O,Iso,165.0,59.59500000000008,438.16,0.9468914188883756,0.0030050688118387
C10,OC(=O)CCCCCCCCC(=O)O,Iso,170.0,14.74844000000001,443.2,0.5847794487011545,0.0235411612819961
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Iso,160.0,46.0842993543999,433.15,0.9571103530129844,0.0035966746058638
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,10.0,5.289999999999999,491.32,0.5056402142915456,0.127035023661594
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Dyn,10.0,5.269385873467695,489.4262645157695,0.5990758686895472,0.1676534695004545
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,10.0,5.19,490.32,0.4923666378579852,0.1327357643356041
C6,OC(=O)CCCCC(=O)O,Dyn,5.0,7.39,472.67,0.6403903685846234,0.0758081849603527
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,10.0,6.389999999999999,502.32,0.6383619027242501,0.1090530577083854
C6,OC(=O)CCCCC(=O)O,Dyn,10.0,1.7899999999999996,456.41,0.1733701831964624,0.1383449147188873
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Iso,170.0,30.44520000000002,443.1762739759036,0.9502522097274284,0.0062710523359216
C6,OC(=O)CCCCC(=O)O,Iso,170.0,3.930000000000001,443.24,0.3713519166931927,0.0714136699225672
C10,OC(=O)CCCCCCCCC(=O)O,Iso,180.0,23.39184,453.18,0.8325473333095527,0.0110486325870845
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Dyn,10.0,11.768701293653296,554.2929096766189,0.982482767422452,0.0067006814519393
C10,OC(=O)CCCCCCCCC(=O)O,Iso,180.0,8.77194,453.2,0.5244879064580329,0.0357653904397439
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,2.5,18.8,482.13,0.7778764022098674,0.0265083525906038
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,10.0,12.09,559.3199999999999,0.9790269046808008,0.0182986737684299
C10,OC(=O)CCCCCCCCC(=O)O,Iso,170.0,23.70285000000002,443.18,0.7503877707508396,0.0140284321908273
C10,OC(=O)CCCCCCCCC(=O)O,Iso,165.0,70.5550000000001,438.16,0.9735280483296332,0.0018631426633385
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,10.0,7.09,509.32,0.7100927038964914,0.0937455133059509
C10,OC(=O)CCCCCCCCC(=O)O,Iso,165.0,69.1850000000001,438.16,0.97085203455269,0.001923244039578
C10,OC(=O)CCCCCCCCC(=O)O,Iso,180.0,2.43665,453.22335,0.1939790401489306,0.0692306765475086
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Iso,160.0,38.01954696737995,433.15,0.9159129633571884,0.0067765773014402
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,5.0,19.59,533.5,0.9567770904533552,0.0162804164466679
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,2.5,20.4,486.13,0.8181035104710725,0.0228190457867567
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Iso,170.0,5.074199999999998,443.2428651497006,0.2726544412216798,0.0543960093733262
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,5.0,16.59,518.5,0.8891654786218978,0.02745325126301
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,2.5,34.81,522.13,0.986718495506151,0.0039625887893168
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Iso,170.0,13.531200000000004,443.2149160240964,0.6508271040569331,0.0334295291472005
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,5.0,21.79,544.5,0.9846134103386388,0.0089382678530725
C6,OC(=O)CCCCC(=O)O,Iso,165.0,32.64149400000001,438.17,0.9601148525189244,0.0037975345667384
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Iso,170.0,18.60540000000001,443.1978168674698,0.7914869250708236,0.0216922473351286
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Dyn,5.0,13.266284989802092,501.8068580643487,0.9727057451632845,0.0214855682957525
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Iso,160.0,1.7281612257899996,433.15,0.0674699409853627,0.0366931783842452
C6,OC(=O)CCCCC(=O)O,Dyn,10.0,8.41,522.41,0.9165824384080858,0.019583070120025
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,5.0,7.59,473.5,0.4669919344901579,0.0708676951207905
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Dyn,5.0,5.263059110469682,461.8524580644495,0.3651434810598073,0.1019262780591039
C6,OC(=O)CCCCC(=O)O,Iso,180.0,30.79010799999996,453.17,0.9829963437734022,0.0016309800559384
C6,OC(=O)CCCCC(=O)O,Iso,165.0,23.485953000000016,438.17,0.9107804750717828,0.0068196959352398
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Dyn,10.0,12.267521074036187,559.2826516120689,0.9859650554955208,0.0070528667057282
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,10.0,4.59,484.32,0.4112049817435537,0.1353398063718807
C6,OC(=O)CCCCC(=O)O,Iso,180.0,21.877181999999976,453.17,0.9580194705079071,0.0042405481454401
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,5.0,0.4000000000000003,437.5,0.0234616762189083,0.0366053990968519
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Dyn,10.0,5.967817665020605,496.4119032253994,0.7154295620483238,0.1658264458104693
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Dyn,10.0,9.275160945367183,529.3441999993692,0.9640479655194132,0.0112899224597907
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Dyn,5.0,11.199727044559262,491.4960451611489,0.8972184294794783,0.0504320415637424
C6,OC(=O)CCCCC(=O)O,Dyn,5.0,20.41,537.67,0.9339219843736384,0.0101658485579015
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,5.0,6.99,470.5,0.4237498715123995,0.0725595815358366
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Dyn,2.5,32.42501859129547,515.1512838708709,0.9892065781957085,0.0010906473629306
C6,OC(=O)CCCCC(=O)O,Dyn,5.0,19.21,531.67,0.9218391472305324,0.0100206221499321
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Dyn,10.0,12.467026241941085,561.2785483862489,0.9873706844653716,0.0074359742539773
C6,OC(=O)CCCCC(=O)O,Dyn,5.0,23.81,554.67,0.9673240582067444,0.0090040372941419
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Iso,170.0,25.371000000000016,443.1826402409639,0.9045305196908696,0.0114814470230514
C10,OC(=O)CCCCCCCCC(=O)O,Iso,165.0,2.0550000000000006,438.19,0.1098590111264535,0.049836061175532
C6,OC(=O)CCCCC(=O)O,Iso,165.0,10.349741999999992,438.18,0.7309305246671887,0.0332862407755146
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,10.0,0.1,439.32,0.0125016539185906,0.0310268089646611
C10,OC(=O)CCCCCCCCC(=O)O,Iso,170.0,30.023610000000023,443.18,0.8293354973739188,0.0105870362728565
C6,OC(=O)CCCCC(=O)O,Dyn,10.0,3.98,478.41,0.5956569804169296,0.1969361970941281
C6,OC(=O)CCCCC(=O)O,Iso,180.0,35.24657099999995,453.17,0.98942777851196,0.0011960520410213
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,5.0,18.59,528.5,0.9381344175026606,0.0204303265213096
C6,OC(=O)CCCCC(=O)O,Dyn,10.0,0.2999999999999998,441.41,0.0211042324699936,0.0764466203411243
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,2.5,33.61,519.13,0.9813075121938422,0.0047824347457275
C10,OC(=O)CCCCCCCCC(=O)O,Iso,180.0,17.05655,453.18,0.7404079841539166,0.0180076138220595
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,5.0,10.79,489.5,0.6703694505327525,0.0523527117108548
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Iso,160.0,19.00977348369,433.15,0.6465540501104007,0.0245104018347965
C6,OC(=O)CCCCC(=O)O,Iso,170.0,4.585000000000001,443.24,0.4181278704924742,0.0654639771093031
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,2.5,8.79,457.13,0.3889032210107935,0.046881524607403
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Dyn,5.0,7.066623222346097,470.8744193547493,0.5529115971034377,0.1046038210552763
C10,OC(=O)CCCCCCCCC(=O)O,Iso,165.0,39.73000000000001,438.17,0.8599415558591116,0.0058899348712035
C6,OC(=O)CCCCC(=O)O,Dyn,10.0,11.01,548.41,0.9614181933038534,0.0157927984838913
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,10.0,3.39,472.32,0.2561131646289449,0.1211935239585952
C6,OC(=O)CCCCC(=O)O,Iso,170.0,47.815000000000055,443.17,0.9713519166931928,0.0015273423791341
C6,OC(=O)CCCCC(=O)O,Dyn,5.0,15.41,512.67,0.8818728397571814,0.0111824334136917
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Iso,160.0,6.33659116123,433.15,0.2414443695049258,0.038477783941421
C10,OC(=O)CCCCCCCCC(=O)O,Iso,170.0,18.96228000000001,443.19,0.6730752602585054,0.0178029418451187
C10,OC(=O)CCCCCCCCC(=O)O,Iso,165.0,71.24000000000011,438.16,0.97480430105402,0.0018030412871031
C6,OC(=O)CCCCC(=O)O,Dyn,2.5,15.270000000000286,472.59000000000026,0.6938770172364196,0.0165880398168141
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,2.5,24.4,496.13,0.8943491844172425,0.0150305092008575
C10,OC(=O)CCCCCCCCC(=O)O,Iso,180.0,33.13844,453.18,0.914187238733794,0.0060767479228962
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Iso,170.0,24.243400000000012,443.1857105389221,0.8903697533435143,0.0129131873988282
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,5.0,21.59,543.5,0.9826980672272664,0.0095767155568632
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Dyn,5.0,6.551149083529859,468.29671612894936,0.4986538782772589,0.1054965872808536
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,5.0,5.99,465.5,0.3505582267498095,0.0732299516248171
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Iso,180.0,0.58826,453.1697773053892,0.0425275688303409,0.0896579447029541
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Dyn,2.5,6.704118457060071,450.93244516127015,0.346085424592172,0.0670495419928396
C6,OC(=O)CCCCC(=O)O,Dyn,2.5,30.9,511.65000000000055,0.8463630894776764,0.0082596048880383
C6,OC(=O)CCCCC(=O)O,Iso,170.0,34.71500000000003,443.17,0.9417943704242644,0.0031241094118656
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Iso,170.0,17.47780000000001,443.2018134131736,0.7652682972247926,0.0238264423092623
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Iso,160.0,27.65057961264,433.15,0.8105500975308467,0.0139598559328557
C10,OC(=O)CCCCCCCCC(=O)O,Iso,170.0,51.09281000000005,443.17,0.967591245228621,0.0033225234136172
C6,OC(=O)CCCCC(=O)O,Dyn,10.0,1.2899999999999996,451.41,0.1119519898926089,0.1126974099810466
C6,OC(=O)CCCCC(=O)O,Dyn,2.5,27.93,504.2100000000005,0.8217508435121492,0.0081293858920552
C6,OC(=O)CCCCC(=O)O,Iso,165.0,25.47628800000002,438.17,0.9237796919864264,0.0062210708949251
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,2.5,19.2,483.13,0.7884797432461089,0.0255518656414586
C6,OC(=O)CCCCC(=O)O,Dyn,2.5,2.22,440.04,0.1048387518635738,0.0478712933302314
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Dyn,5.0,10.553483219770706,488.273916128899,0.8603440941037228,0.0614704330342268
C6,OC(=O)CCCCC(=O)O,Dyn,2.5,28.67,506.0700000000005,0.8277927444877462,0.0082000762041484
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Dyn,10.0,5.169592518704062,488.4283161286795,0.5822620855319268,0.1684859998688772
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Dyn,2.5,31.78334832644007,513.5458129031309,0.9885045670214456,0.0010924608882194
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Iso,180.0,17.059539999999984,453.17399676646704,0.9553869032357316,0.0121168184101745
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,5.0,15.99,515.5,0.8720550801603013,0.0290493705224865
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,5.0,9.99,485.5,0.6254674235251378,0.0582902753561095
C14,OC(=O)CCCCCCCCCCCCC(=O)O,Dyn,10.0,2.6814698013956413,463.4796064514297,0.1953858405518834,0.1169387759966089
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,2.5,27.61,504.13,0.93556010782614,0.0105213564406006
C6,OC(=O)CCCCC(=O)O,Dyn,2.5,35.0,521.8800000000006,0.8824575628383873,0.0091897405736192
C10,OC(=O)CCCCCCCCC(=O)O,Dyn,10.0,8.889999999999999,527.3199999999999,0.851815932232973,0.0633415630445601
